country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,130.7,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,130.3,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,129,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,130.2,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,129.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,126.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,128.2,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,128.6,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,126.8,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,127,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,127.7,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,127.6,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,127.5,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,128,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,128.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,127.8,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,126.3,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,126.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,125.7,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUL ,,,,125.5,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAY ,,,,125.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUN ,,,,125.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016APR ,,,,125.2,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAR ,,,,126.4,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016FEB ,,,,126.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016DEC ,,,,126.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,126.6,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JAN ,,,,125.3,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JAN ,,,,122.2,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015NOV ,,,,125.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015DEC ,,,,125.5,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015FEB ,,,,123.2,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAR ,,,,122.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015APR ,,,,121.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAY ,,,,121.9,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUN ,,,,122.1,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUL ,,,,122.7,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015AUG ,,,,120.5,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015SEP ,,,,122.8,
China  Hong Kong SAR,344,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015OCT ,,,,124.8,
