country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAY ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,113,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,113,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,113.4,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,113.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUL ,,,,112.3,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JUN ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAR ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016FEB ,,,,112.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016MAY ,,,,111.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016APR ,,,,112.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,112.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016DEC ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016JAN ,,,,112.7,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JAN ,,,,113.4,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015NOV ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015DEC ,,,,112.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAY ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUN ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015FEB ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015MAR ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015APR ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015JUL ,,,,113.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015AUG ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015SEP ,,,,113.2,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2015OCT ,,,,112.7,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014OCT ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014SEP ,,,,113.9,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014AUG ,,,,114.1,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014JUL ,,,,113.5,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014DEC ,,,,113.6,
Singapore,702,Price indices - Consumer price indices: general (all items),5001,2010=100,      2014NOV ,,,,113.8,
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018FEB ,,,,119.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAR ,,,,119,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018APR ,,,,119.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018JAN ,,,,118.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2018MAY ,,,,118.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JAN ,,,,117.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017DEC ,,,,118.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017OCT ,,,,118.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017NOV ,,,,118.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAY ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017APR ,,,,117.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017MAR ,,,,117.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017FEB ,,,,117.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUN ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017JUL ,,,,118,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017AUG ,,,,117.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2017SEP ,,,,118.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016SEP ,,,,116.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016AUG ,,,,116.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUL ,,,,116.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAY ,,,,116.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JUN ,,,,116.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016FEB ,,,,115.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016MAR ,,,,115.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016APR ,,,,116.1,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016NOV ,,,,116.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016OCT ,,,,116.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016DEC ,,,,116.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2016JAN ,,,,115.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015DEC ,,,,114.6,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JAN ,,,,113.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015OCT ,,,,114.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015NOV ,,,,114.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015APR ,,,,113.5,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUN ,,,,113.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAY ,,,,113.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015MAR ,,,,113.3,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015FEB ,,,,113.7,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015JUL ,,,,113.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015AUG ,,,,114,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2015SEP ,,,,114.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014OCT ,,,,112.4,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014SEP ,,,,112.2,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014AUG ,,,,112,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014JUL ,,,,111.8,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014DEC ,,,,112.9,/1765
Singapore,702,Price indices - Consumer price indices: food and non-alcoholic beverages,5002,2010=100,      2014NOV ,,,,112.6,/1765
,,,,,,,,,,
 Footnotes ,,,,,,,,,,
1765,The indices have been calculated by the Statistics Division of the United Nations from national indices.,,,,,,,,,
