country,country_code,series,seriescode,measure,period,D1,D2,D3,data, 
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018FEB ,,,,104.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAR ,,,,104.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018APR ,,,,104.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018JAN ,,,,104.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2018MAY ,,,,104.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JAN ,,,,103.6,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017DEC ,,,,104.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017APR ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAR ,,,,103.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017FEB ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017MAY ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUN ,,,,103.8,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017JUL ,,,,103.7,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017AUG ,,,,103.9,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017SEP ,,,,104.1,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017OCT ,,,,104.2,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2017NOV ,,,,104.5,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016NOV ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016OCT ,,,,104,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016SEP ,,,,103.4,/1765
Japan,392,Price indices - Consumer price indices: general (all items),5001,2010=100,      2016AUG ,,,,103.3,/1765
